,A,B,C,D,E,F,G,H,I,J,K,L,M
PI655977,0.262272423,0.462198573,0.008292669,-0.903732585,-1.822474141,0.267256149,0.104451312,0.350895841,1.004109506,-0.934359254,0.109749423,0.322383406,0.34486395
PI656101,-0.029845424,-0.138419703,0.995405265,-0.405215642,-0.582297031,0.262645314,0.118882366,-0.110539258,-0.525220748,-0.804489724,0.392866096,1.103345462,0.333568379
PI533903,-0.320242364,-0.178887174,0.700108651,-0.165009827,-0.344469127,0.187320865,0.163692238,0.598245174,0.039367135,0.726637713,0.97550097,0.349267713,-0.307146562
PI576385,-0.42653194,-0.614764104,-1.215392474,-0.359561664,-1.133968286,-0.198787236,-0.702129421,-0.384336556,-0.475654046,0.118727319,-0.216831082,-0.667546352,0.31799359
PI656023,-1.277480562,0.256799572,0.856167917,-0.848086565,-0.399021416,0.236152294,0.056633361,0.626566243,0.039976153,-0.724454194,-0.26581546,-1.047368613,-1.584345855
PI35038,-1.528681889,-1.986940277,-1.441257357,-1.62307593,-0.761169676,-0.549277905,0.00753494,-0.597577975,-0.457952537,-0.925557305,-1.909058674,-0.218550211,-1.772293314
PI534115,-0.656436131,0.046021606,-0.519094862,-0.394291615,-0.382213701,0.114705716,0.359521499,0.150713614,-0.098664135,-0.187522641,0.569577689,0.458760511,0.291299532
PI656042,-1.550111247,0.638861813,-1.091507465,-0.316944195,-1.215932041,0.643590583,0.622886096,1.163732006,1.659318877,1.43632497,-0.079910635,-0.17167626,-0.722420045
PI533794,-0.314917893,-0.101382416,-1.477685884,0.204711417,-0.057571934,-0.337652673,0.203140657,0.121772622,0.64492918,-0.185477719,-0.106699943,0.370231895,-0.064175591
PI533882,-1.261524939,-0.192799169,-1.920898313,0.017643921,-0.249236931,0.656948203,0.060969782,0.175922832,-0.208915921,1.451958818,-0.251574245,0.700135072,-0.266994388
PI533769,-0.967662267,0.366748882,1.384907437,-0.711874448,-0.281772908,0.535821394,0.70289963,0.167036054,-0.627486177,-0.034185827,0.391443187,1.273909771,-0.162439431
PI533972,-1.478581753,0.070342613,-0.808628161,-1.27391072,-0.442376224,0.137968073,0.076390516,-0.079992667,-0.251097933,0.134486002,0.207586478,-0.019533453,-0.93477684
PI597968,-1.401332028,-1.051960394,-2.659327722,-0.897123161,-1.856546902,-0.848558671,-0.563948202,-0.41295168,-0.207230607,-1.074072764,-1.126211049,-1.212287761,-2.200278631
PI656075,-1.040922407,0.222123534,0.820068685,0.25543321,0.332324219,0.805099517,0.390488245,0.871933737,1.057376025,-0.351060251,-0.026695455,-0.26128868,0.06009784
PI576364,-0.937300162,-0.059736093,-1.007450287,-2.046311327,0.044764792,-0.377697541,0.00095102,-0.265911743,-0.783596796,-1.480277055,-0.519728265,-1.068470321,-2.003951123
PI656007,-0.282328365,0.283536036,-0.712360852,-0.435675508,0.524183353,0.732419873,0.795633093,0.957705653,-0.074266034,-0.134312735,0.78553147,1.658396686,-0.182652175
PI576130,-1.126490018,-0.891776537,0,-0.654696417,-0.430341362,-0.182270954,-0.315430117,-0.741675757,-0.081065524,-0.909024417,0.428294881,0,0.564103073
PI656044,-1.405437503,-0.321894393,-0.13198823,-0.7700604,-0.056754799,0.153821864,-0.401630031,-0.205568194,-0.314209447,-1.052103718,-0.14282747,-0.395525181,-1.176290066
PI534155,0.191606136,0.242806019,0.073565981,-1.040132843,0.28771116,0.497115402,0.351795201,0.311075131,0.460536387,0.513546292,-0.384779763,0.326317212,-0.351100705
PI533986,-0.37028819,0.098933818,0.03395803,-0.436154981,0.274888799,0.896966365,0.149706197,0.576630622,1.004973814,-0.387445874,0.368515686,0.322184186,0.576919755
PI656100,-1.507489813,-0.266009134,-1.746053155,-1.606259936,-0.668371983,-0.048576151,-1.457356195,-0.023916196,-0.274578383,-0.788842954,-0.714011262,-1.275200557,-1.710822262
PI656053,-1.391644998,-0.510303585,-1.296132236,-1.499869145,-0.847685332,0.01897739,-0.836187791,-0.491336486,-0.409378148,-1.287175721,0.163662264,-0.849273527,-1.362775242
PI533936,-0.664607993,-0.090534411,-0.837332024,-1.747006821,-1.172515839,-0.758329088,-1.329583515,-1.402693132,-1.19297248,-0.786648426,0.222640718,-0.685682195,-0.856258573
PI597982,-0.529703462,-0.214041903,-0.404198181,-1.326577961,-0.071445582,-0.655458391,-1.257385572,-0.667251393,0.053537674,-0.941066834,-0.570800968,-1.646123713,-2.289910842
PI576426,-0.38370733,-0.039016916,-1.055571978,-0.645977498,-2.129815739,-0.352388519,-0.46217511,-0.69248535,0.10844896,-1.173659052,0.275783122,-0.509320624,-0.665974877
PI533924,-0.94831248,-1.110640741,-1.115982342,-1.434214923,-1.47461771,-0.506450763,-1.22863238,-0.843634271,0.241554529,-0.681998873,0.123721773,-0.707043259,-0.31215854
PI533754,-0.943849697,0.233769359,0.606872159,-1.364448195,0.048412713,0.438618476,-1.273984324,-0.120945461,0,0.829972167,-1.377163087,-0.108002291,-2.114557993
PI534099,0.171158511,-0.391916202,0.238696774,-1.219006749,-0.186843676,-0.129724535,-0.948562978,-0.696800095,-0.230091467,-1.394165836,-0.689449114,-1.814773268,-0.05391809
PI533789,-0.882294276,-0.144470601,0.818552279,-1.74394938,-0.332189877,-0.101915731,-0.632320025,-0.163110477,-0.116045886,0.765622696,-1.683729377,-0.495391394,-1.824712413
PI533838,-1.278626087,-0.241261433,0.507069007,-1.586846935,-1.044963134,-0.460320362,-1.533491363,-1.00025631,1.292086909,-1.457975716,-0.953067817,-1.901949783,-1.411510359
PI533955,-0.445490325,-1.036376371,0.810598207,-1.345958148,-1.288454384,-0.602127788,-1.629264058,-1.40023941,-1.079357263,-0.999934598,0.087322465,-0.508888752,-1.653097747
PI655984,-0.038944536,-0.8028005,-0.795131821,-0.754185895,-0.148248969,-0.363144616,-1.105642324,-0.475711178,2.052786347,2.599866205,-1.342474583,-1.827434866,-1.446967142
PI659692,-2.807525523,-4.416422784,-3.800322741,-2.224122454,-3.4453551,-2.448028529,-4.144880394,-2.264906625,-1.361833131,-1.890092426,-4.718304882,-4.258700831,-4.311910331
PI533839,-2.148527767,-2.928123713,-2.282611213,-2.66572621,-1.65745292,-1.001411764,-1.887950065,-1.537840103,-0.646787185,-1.046185969,-3.412227513,-2.115898027,-2.884244613
PI653617,0.340171655,0.404551948,-0.647640143,-1.322818714,-0.814713163,0.266034599,-0.694562943,0.194040938,0.4707408,-0.516289982,0.165651648,-0.095454784,-1.229345671
PI534054,-2.877770247,-3.867754958,-3.348527122,-2.130137203,-2.55019514,-1.917770809,-2.058157547,-2.234503225,-3.175324256,-2.57228197,-2.909920878,-2.110081395,-3.824293772
PI534037,-1.430081729,-3.1757801,-1.839590259,-1.445334732,-3.387819689,-0.847803771,-1.750880787,-2.639735432,-2.256492238,-0.149181286,-1.660734877,-0.58984557,-1.315540921
PI656117,-0.146398291,-0.584186396,0.045149966,-0.505742207,-0.686560056,-0.262269013,-0.26976621,-1.226391871,-0.969549329,-0.178917063,-0.723479325,-0.312004787,0.1329273
PI609456,-1.222952063,-0.006697801,-0.98131561,-0.062347425,-1.417042981,-0.408120851,-0.754277135,-1.036186567,0.457566191,0.630436569,0.987646604,0.665786511,0.45182777
PI641824,-0.508960792,-0.223163445,0.657446864,-1.423165839,-1.243774664,-0.615632319,-0.924553877,-0.051865707,-0.111064964,0.154978389,-0.145631201,-0.246555097,-1.367527368
PI576352,-0.038565111,-0.127853261,0.792950122,-0.349167684,-0.509332273,-0.142161917,-0.223365845,-0.641555428,-0.594789824,-0.800951818,0.559987284,-0.555397817,-0.780138936
PI533980,-0.160210261,0.108942387,0.131519915,-0.383705373,0.106114255,0.003250879,-0.504660987,-0.072110572,0.413900621,-0.176888326,-0.184905598,-0.982119418,-1.588135031
PI656012,-1.434041054,0.180864226,-1.737081853,-0.228869729,0.286454043,-0.142156006,-0.77547616,0.276913727,1.245640696,2.052744309,0.154214656,0.297173443,-1.152575056
PI656096,-1.128946206,-1.193401537,-1.679864796,-1.353621028,-1.326169862,-0.807098873,-1.466577049,-1.240708434,0.067684428,-1.511754439,-1.126896572,-1.548899639,-2.344925147
PI533949,-1.518881291,-0.332021375,1.023562831,-0.797274497,-0.98809533,0.093854751,-0.071001276,-0.675703349,-0.520422152,-1.344305711,-0.753381991,-0.289077547,0.086172672
PI534104,-0.235508581,-0.240824912,-0.369570798,-0.42084405,-0.518886608,-0.41783635,-0.311824605,-1.476026317,-0.769509591,-0.646392103,0.207369732,0.052389677,0.452969115
PI595714,-1.881351288,-3.960759416,-2.493696505,-3.100958325,-2.65347141,-2.132647591,-3.529229429,-2.891128619,-4.987902426,-3.631651267,-5.369697397,-2.936796196,-3.152633701
PI656038,-0.131062939,-0.341401667,0.691873197,-1.346435666,-0.61841406,-0.59446184,-0.76055004,-0.876490681,0.254842524,-1.120063363,-0.022815441,0.588266965,-0.603779302
PI576422,-3.382009386,-3.066826826,-3.117293998,-2.447224322,-2.212373162,-1.427586207,-2.399321919,-1.748347945,-1.54030562,-0.71085659,-3.497157746,-2.440675038,-3.509746004
PI533876,0.187193622,0.655555468,0.266173893,-0.378468596,0.573588463,0.805538347,0.599372032,0.912645188,0.408360561,0.724970898,0.970441619,0.159957638,0.869498218
PI656005,-2.831442101,-2.430882269,-3.135322686,-2.267371137,-2.604867846,-1.749096925,-2.19435502,-1.965758545,1.965905014,1.75945161,-4.450075983,-3.431070956,-3.329735899
PI534148,-0.655597737,-0.63643222,0.689465374,-0.444547906,-1.062779234,-0.632779315,-0.629046488,-2.382134254,-0.791353853,1.422375291,0.740075127,0.050467615,0.23074361
PI533821,-2.708798412,-1.863401005,-1.614281414,-2.185424737,-2.638535161,-0.985355533,-1.6459445,-1.995287147,-1.822599839,-1.342528049,-1.076748329,-1.539682379,-1.725201621
PI656026,-3.787474494,-5.066671786,-4.269301645,-4.02965213,-2.827318154,-4.371133775,-5.587269969,-3.560881664,-2.807960455,-4.010369195,-5.775162505,-4.680306277,-4.683322724
PI561472,0.282039701,-0.946516843,-1.248701547,0.000636473,-0.536959503,-0.029491174,-0.557540097,-1.155433957,-0.323028241,0.820064163,0.376500771,-0.209965792,0.987231929
PI655974,-0.696147306,0.357007041,0.809657713,-0.378587214,0.40219648,0.168496084,0.07224482,0.090165857,-0.041378107,0.03615881,0.757316025,0.475687589,0.328733466
PI576394,-2.070117782,-0.818933827,-1.881667238,-0.601228731,-0.363576712,-1.042753098,-1.291622431,-1.127701054,0.383349908,-0.680308412,-0.440697149,-1.542416535,-1.276427599
PI597951,-0.592654866,-0.46104759,-1.032115655,-1.039390587,-1.120498399,-0.727364023,-1.054357962,-0.965179327,0.683046113,-0.141322885,0.040169774,-0.38367672,-0.176480542
PI656104,-1.100691505,0.293893889,0.895191657,1.087211283,-1.828870468,0.351160009,0.041374783,-0.848234292,-0.345325963,1.966705409,0.648868105,1.74351129,0.950844745
PI656011,-0.191120296,-0.642837991,0.788063783,-1.326043342,-1.458444336,-0.567269443,-0.765437288,-0.929112268,1.329016043,-0.081460242,-1.179147568,-1.530518373,-1.432039191
PI533979,-0.093138556,-0.087440664,-0.590289657,-1.467941755,-0.278501428,-0.436936617,-0.382543886,-0.210181847,0.06938861,-0.688645024,0.323112078,-0.313366891,-0.028419255
PI656089,-0.920848626,-0.37694448,0.755506698,-1.378995863,-0.449884944,-0.429201845,-1.703575228,-1.041091873,-1.024748936,-0.68104901,-0.245209753,-1.371877313,-1.485173037
PI656027,-0.6533121,-0.478542374,-0.194526655,-0.669052152,-1.013389711,-0.12834973,-0.147784313,-1.162194675,-0.836503935,0.620499401,0.757112808,0.463124801,0.217978963
PI534101,-0.419155075,-0.825468552,-1.230613486,0.198755695,-0.094651804,-0.389144167,-0.202445738,-0.790147858,-0.953840325,0.070668939,0.546580237,0.584775727,0.070646783
PI533943,-0.04732899,0.432712781,1.058319178,0.25723756,-0.075518859,0.141684118,0.296198629,0.073283038,1.16287164,0.37636927,0.737644362,0.960833892,0.426217557
PI597949,0.245172891,-0.609906907,0.991352222,0.312603771,-1.424609294,-0.367309867,-0.783454196,-1.546221593,-0.922345767,1.600150072,0.720733932,0.878472113,1.148366134
PI595740,0.340828206,-0.189618196,1.227673448,-0.3104666,0.054592904,0.320750034,-0.317449351,-0.921006398,-0.081633448,2.340516093,1.406340173,1.980103324,0.531762219
PI533792,-1.339684915,0.114943305,-0.779164705,0.469760899,0.274623498,0.417059999,-0.413785545,-0.05777097,0.84341601,-0.218605012,0.357296682,0.277737058,-0.0592665
PI595745,-0.445482429,0.636962718,0.776157838,0.080763382,0.653441721,0.493484546,-0.785997358,0.933350597,0.918392163,1.078187399,0.109965324,0.087859966,0.277704725
PI656110,-0.49386307,0.180691725,-0.705691802,-1.485831728,0.198185851,0.226938112,-0.395014564,0.607994925,1.622158589,2.704240683,-0.454182754,0.096754326,-2.071941282
PI655994,-0.672266543,0.026047467,-0.22585606,-0.524454502,-0.043177736,0.781930975,-1.568048311,0.177396959,1.678770577,1.694844648,0.068083201,-0.28946263,-1.236511582
PI598069,-1.760367625,-0.433831201,-0.993191364,-1.023297522,-0.037078566,-0.120754094,0.093196739,-0.408004104,1.088647979,-0.139431087,-0.020387439,-0.51877372,0.42219171
PI597950,-0.077144106,-0.170622268,0.825703609,-1.404955652,-0.451316081,-0.344514894,-1.355407537,-0.703650177,1.502151714,-1.206130623,-1.244109505,-1.574084183,-2.139960936
PI656114,-0.467381382,0.272955358,-0.397840368,-0.127382062,0.331270023,0.127183942,-0.128170069,0.225482605,0.43583017,0.046410911,-0.714502922,-1.364268296,-1.83858875
PI542718,-0.126714617,-0.038597381,0.664370429,-0.428973203,-0.454730415,-0.061943401,-0.569622998,-0.206801208,0.175683107,-1.665446627,-0.687954737,-1.179776172,-1.436801978
PI533752,-1.4475358,-0.493642146,-0.710697493,-0.245235456,-0.606924541,0.390514758,-0.203794654,-0.007126381,-0.280535783,-0.264442329,0.182064486,0.245434221,-0.293347752
PI576375,-1.997755766,-2.850404472,-2.032382555,-4.043903113,-1.995355078,-2.238672398,-3.689844668,-2.486427699,-0.798976471,-2.064802682,-4.820179932,-3.08141333,-4.200884822
PI533957,-0.194093832,-0.812336242,0.839961809,-0.904191346,-0.07865973,0.085883281,-1.022802405,-0.596030744,-0.42065735,-0.688738098,-0.587375959,-1.168244474,-1.287452987
PI533962,-0.665147711,0.011733505,-1.954229619,-1.436444683,-0.473883818,-0.640910583,-1.182116072,-0.785610475,-0.444785662,-1.023367427,-0.6438216,-0.960493605,-1.661483501
PI655998,-1.261806742,-0.096510283,-0.965193307,-1.871837748,-0.848785245,-0.70180685,-1.588891142,-0.295579942,0.02005445,-0.81877459,-0.437698836,-1.036375323,-1.789867321
PI576390,-0.372939692,0.203533317,0.964240401,-0.831345376,-0.068279351,-0.044458803,-0.368556835,-0.615447321,0.23653281,-0.417063657,0.135912421,-0.938051863,0.094050175
PI597980,0.891338476,0.500653741,1.795764203,-0.195749388,-0.431986539,0.560607781,-0.52124484,-0.114963437,1.207889758,1.911914724,1.148418074,1.798959199,0.90513916
PI656094,-0.640964044,-0.732484094,-0.418707011,-1.952560963,-1.032096421,-0.611826618,-1.679307352,-1.373829494,-0.310068861,-1.090272373,-1.044729161,-1.283235446,-1.739448623
PI597973,-1.362773687,-0.23211909,0.068201214,-1.547644699,-2.978994321,-0.552157222,-1.333710013,-1.314823428,0.539805056,-1.632042096,-1.016422242,-1.572895481,-2.219754915
PI533915,-1.452469798,-0.165441712,0.282348514,-0.538052,0.045550367,-0.062514374,-1.938293111,-0.316237075,0.129145085,0.502445161,-0.986687473,-1.342108297,-2.247906839
PI576434,-0.719397779,-0.615953046,-0.255639157,-0.923168653,0.054368721,0.196251291,-0.190756209,-0.382934397,-0.624420782,-0.527143487,-0.335203144,0.143948228,-1.556809108
PI656079,-0.350409069,-0.569912591,-1.284415404,0.589617766,-0.045782619,-0.384721356,-0.480968575,-0.782862421,0.308788996,-1.060675833,-0.318397654,0.587214045,0.072376572
PI656050,-0.839876619,0.537832758,0.600484781,-1.389277601,0.269768043,0.425751543,-0.527678458,0.229448071,0.511826692,0.059746345,-0.509967071,-0.980588265,-1.47531824
PI656033,0.111962902,0.721189999,0.537275802,-0.273072002,-0.080015277,-0.180917689,-0.284531352,-0.457685057,0.425078312,-0.249690616,0.219648748,-0.19587516,0.028415813
PI574455,-1.096513945,0.254889618,0.716837205,-0.498010725,-0.268108726,0.249935294,-0.097653907,0.334363858,0.870153789,-0.826061517,-0.143887518,0.021829761,-1.430930148
PI24969,-0.711535119,-0.027067163,0.534218453,-0.618238186,-0.177010748,0.012014112,-0.09250006,0.210693991,0.360619383,-0.930291316,-0.268379584,0.402492611,0.207696375
PI656049,-0.419300809,-1.983792006,-1.110531982,-1.850866016,-0.876319419,-1.335757275,-1.797675695,-1.677629572,-0.619437751,-1.014439835,-1.219276285,-1.412779222,-2.093638076
PI656034,-0.628609706,-0.221832452,1.136270325,-1.094649551,-0.551288909,0.333531922,-0.90864696,-0.100217421,0.558408624,1.040833629,-1.226221011,-0.643653836,-1.97250584
PI595718,-0.459654289,-0.016118728,0.050555723,-0.706217345,-0.187677063,-0.086976851,-0.638834288,-0.765159316,-0.841384889,0.32595537,0.228488231,-0.178444458,-0.739006012
PI659753,-0.993693325,-0.981043489,0.477943745,-1.838263651,-1.388188538,-1.335352144,-2.137834981,-2.147385418,0.599943782,-2.210476765,-2.033772101,-2.30108276,-3.276325073
PI595744,-0.23774281,0.234644004,0.787126701,-1.17204988,-0.731048618,-0.355468005,-1.489445239,-0.828031445,-0.160741858,0.380065324,-0.842002389,-1.589107463,-2.365838856
PI533776,-1.439087143,-0.420213967,-2.181471402,-1.844882281,-0.37241473,-1.036184359,-2.271280571,-1.443263204,0.238488554,-1.131120003,-0.903631392,-1.578241354,-2.482229299
PI656119,0.172720304,-0.469447878,-1.861809035,-1.371639336,-1.92400303,-1.171485223,-2.042956211,-1.467329213,-0.366151181,-0.691641185,-0.427327482,-0.722812321,-1.4687988
PI595743,-1.576756561,-0.236752553,-2.777767177,-1.984722276,-1.262476977,-1.111522814,-1.852523606,-1.824967361,-1.420423176,-1.828268175,-1.234979329,-1.838876583,-3.017491278
PI534047,-1.669089559,-2.213120376,-2.519827053,-1.643459858,-1.863902607,-0.92004587,-1.697594615,-1.531287907,-0.145081039,-1.238834983,-1.467036992,-2.375253649,-1.567656113
PI656077,-0.950156347,-0.38019779,0.414594441,-0.801858666,-0.846908755,-0.318941322,-1.230836181,-0.62980124,0.469541213,0.828259165,-1.048244028,-0.897479331,-1.624027806
PI533989,-1.458469756,-2.077852243,-0.89747348,-1.540867568,-1.308601484,-1.11564155,-2.289045628,-2.742204271,-0.322830305,-1.681407419,-2.057145926,-2.528425826,-2.386705888
PI656043,0.05663493,-0.701426863,0.044974504,-1.091053938,0.10914872,-0.554751687,-1.507672,-0.87918867,1.237377387,-1.452851429,-2.037698011,-2.082968647,-1.672807679
PI656055,-0.200939585,-0.941439998,-0.594557422,-2.143157614,-0.728782451,-1.25570778,-2.347901442,-1.553712601,-0.52735181,-1.830737271,-3.279538252,-2.290159018,-2.404417252
PI659693,-1.57512027,-2.386324357,-2.087233602,-1.291163729,-1.170964272,-1.422781952,-2.497463155,-2.66703053,-0.910453137,-2.39644501,-4.490935407,-2.607312577,-2.802825936
PI533871,-0.434948176,-0.886262704,-0.600742996,-0.555444322,-1.923692925,-0.452746277,-1.806529281,-1.11876191,0.408681513,-1.609230891,-2.629911118,-1.322664964,-1.872432269
PI533910,-0.120777131,-0.17651929,0.142027344,-0.289303505,-0.249932166,-0.109607075,0.072113897,-0.627549873,0.761413101,-0.557468156,0.598318097,0.725750772,0.437811266
PI656070,-0.07535958,0.380946624,0.108177898,0.6105082,-0.014312215,0.642892094,0.022847377,-0.030993359,0.509614183,-0.022123994,0.195751975,1.053519459,0.376604452
PI656016,-0.443724282,0.863286474,0.485610008,0.089069208,-0.178015127,0.473445478,1.29451836,1.092250352,0.472544092,1.424271556,0.454288027,-0.314267094,0.320842137
PI656076,0.129355774,0.446454955,0.247196325,0.45567425,-0.130339221,0.760413278,1.058837523,0.705183219,-0.157915361,1.161492613,0.838618244,-0.026325491,0.965822958
PI533965,-0.386619035,-1.099707019,0.210116002,-0.636954916,0.233291889,0.59389441,0.621027235,0.359201722,-0.416246952,1.398002075,0.786135844,1.090332346,1.077550488
PI656121,-0.127133569,-0.639418795,-0.213506149,0.378828896,-1.44964553,0.087419139,0.085008188,-1.063653728,0.611644461,2.22622575,0.64915869,1.053819643,1.272982591
PI655973,0.297578429,0.663774911,0.335737476,-0.035159732,0.264129756,0.500921615,0.315469132,0.588747294,0.28840089,1.385219051,0.000451322,0.31401859,0.405291391
PI534123,0.723848673,-0.100022705,-0.1976167,0.003196823,0.411688137,-0.006859466,0.509976696,0.224486034,0.076280873,-0.833028087,0.097372276,0.341397882,-0.080837894
PI655976,0.368124366,0.385752066,1.008138072,-0.505386259,0,0.391799191,0.126642997,0.354113283,1.186624874,0.357022027,0.973658329,1.076982719,0.756577649
PI655978,-0.037719492,-1.422432402,-0.578549955,-0.825035486,-1.786162286,-0.51549172,-0.310020139,-2.270251391,-0.883401078,0.970223162,-0.486029739,0.222255925,0.011926954
PI656107,-0.155426817,-1.332572929,-0.207634229,-0.259076436,-0.377277968,-0.280234359,-0.224990238,-0.303046382,0.115593396,0.435692353,-0.083775971,0.67558761,0.292124808
PI597945,-0.723520988,0.228328326,-0.554561128,0.531224372,-1.612948962,0.31342247,0.351502395,0.921876252,1.684067022,1.81251559,0.179147553,-0.235732926,0.180177659
PI533852,-0.387677368,0.210600188,-1.102288741,-0.344659723,-0.747093187,0.126435424,0.779672573,0.388527195,-0.42196362,-0.023861697,0.014930684,-0.436510035,-0.493884516
